time,open,high,low,close,funding
2016-08-22T00:00:00Z,11.17,11.34,11.04,11.1,NaN
2016-08-23T00:00:00Z,11.1,11.2,10.85,11,NaN
2016-08-24T00:00:00Z,11,11.16,10.98,11.01,NaN
2016-08-25T00:00:00Z,11.01,11.35,10.99,11.34,NaN
2016-08-26T00:00:00Z,11.34,11.47,11.2,11.28,NaN
2016-08-27T00:00:00Z,11.27,11.28,11.17,11.18,NaN
2016-08-28T00:00:00Z,11.18,11.19,10.97,11.01,NaN
2016-08-29T00:00:00Z,11.01,11.16,10.8,10.95,NaN
2016-08-30T00:00:00Z,10.95,11.25,10.95,11.21,NaN
2016-08-31T00:00:00Z,11.21,11.7,11.09,11.7,NaN
2016-09-01T00:00:00Z,11.66,12.5,11.57,12.05,NaN
2016-09-02T00:00:00Z,12.04,12.35,11.95,12.15,NaN
2016-09-03T00:00:00Z,12.15,12.47,11.6,11.88,NaN
2016-09-04T00:00:00Z,11.84,11.88,11.54,11.77,NaN
2016-09-05T00:00:00Z,11.77,11.84,11.62,11.76,NaN
2016-09-06T00:00:00Z,11.75,11.76,11.5,11.71,NaN
2016-09-07T00:00:00Z,11.75,11.9,11.53,11.58,NaN
2016-09-08T00:00:00Z,11.55,11.7,11.31,11.39,NaN
2016-09-09T00:00:00Z,11.39,11.69,11.34,11.64,NaN
2016-09-10T00:00:00Z,11.64,12.21,11.55,12.21,NaN
2016-09-11T00:00:00Z,12.2,12.21,11.6,11.65,NaN
2016-09-12T00:00:00Z,11.64,11.95,11.64,11.86,NaN
2016-09-13T00:00:00Z,11.87,12.08,11.84,11.92,NaN
2016-09-14T00:00:00Z,11.92,12.03,11.8,11.91,NaN
2016-09-15T00:00:00Z,11.91,12.1,11.91,11.96,NaN
2016-09-16T00:00:00Z,11.95,12.76,11.86,12.58,NaN
2016-09-17T00:00:00Z,12.58,12.99,12.41,12.79,NaN
2016-09-18T00:00:00Z,12.8,12.98,12.33,12.64,NaN
2016-09-19T00:00:00Z,12.64,13.2,12.61,13.17,NaN
2016-09-20T00:00:00Z,13.18,15.25,13.1,14.56,NaN
2016-09-21T00:00:00Z,14.98,15.2,13.16,13.76,NaN
2016-09-22T00:00:00Z,13.77,13.77,12.33,13.2,NaN
2016-09-23T00:00:00Z,13.21,13.45,13.14,13.37,NaN
2016-09-24T00:00:00Z,13.37,13.41,12.62,12.97,NaN
2016-09-25T00:00:00Z,12.96,13.18,12.8,13.12,NaN
2016-09-26T00:00:00Z,13.14,13.15,12.83,12.84,NaN
2016-09-27T00:00:00Z,12.85,13.25,12.85,13.09,NaN
2016-09-28T00:00:00Z,13.09,13.58,13.09,13.32,NaN
2016-09-29T00:00:00Z,13.31,13.39,13.1,13.11,NaN
2016-09-30T00:00:00Z,13.11,13.39,13.08,13.23,NaN
2016-10-01T00:00:00Z,13.23,13.31,13.09,13.22,NaN
2016-10-02T00:00:00Z,13.23,13.31,13.19,13.28,NaN
2016-10-03T00:00:00Z,13.29,13.56,13.25,13.51,NaN
2016-10-04T00:00:00Z,13.52,13.58,13.24,13.32,NaN
2016-10-05T00:00:00Z,13.34,13.45,13.08,13.09,NaN
2016-10-06T00:00:00Z,13.09,13.18,12.68,12.86,NaN
2016-10-07T00:00:00Z,12.88,13.08,12.5,12.7,NaN
2016-10-08T00:00:00Z,12.7,12.74,12.06,12.26,NaN
2016-10-09T00:00:00Z,12.22,12.43,12.02,12.1,NaN
2016-10-10T00:00:00Z,12.1,12.18,11.62,11.78,NaN
2016-10-11T00:00:00Z,11.78,12.24,11.7,11.77,NaN
2016-10-12T00:00:00Z,11.77,12.11,11.68,11.92,NaN
2016-10-13T00:00:00Z,11.92,12.11,11.72,11.87,NaN
2016-10-14T00:00:00Z,11.88,12.07,11.84,11.92,NaN
2016-10-15T00:00:00Z,11.91,11.97,11.78,11.95,NaN
2016-10-16T00:00:00Z,11.96,12.05,11.9,11.95,NaN
2016-10-17T00:00:00Z,11.95,11.99,11.83,11.96,NaN
2016-10-18T00:00:00Z,11.96,12.94,11.95,12.54,NaN
2016-10-19T00:00:00Z,12.55,12.65,11.88,12.01,NaN
2016-10-20T00:00:00Z,12.01,12.26,11.92,12.06,NaN
2016-10-21T00:00:00Z,12.07,12.13,11.96,12.05,NaN
2016-10-22T00:00:00Z,12.05,12.14,11.87,12.03,NaN
2016-10-23T00:00:00Z,12.04,12.06,11.87,11.94,NaN
2016-10-24T00:00:00Z,11.93,11.99,11.89,11.92,NaN
2016-10-25T00:00:00Z,11.91,11.95,11.05,11.33,NaN
2016-10-26T00:00:00Z,11.32,11.7,11.32,11.49,NaN
2016-10-27T00:00:00Z,11.49,11.57,11.22,11.48,NaN
2016-10-28T00:00:00Z,11.49,11.63,10.93,11.13,NaN
2016-10-29T00:00:00Z,11.14,11.35,9.52,10.47,NaN
2016-10-30T00:00:00Z,10.45,11.45,10.35,11.19,NaN
2016-10-31T00:00:00Z,11.2,11.44,10.85,10.97,NaN
2016-11-01T00:00:00Z,10.97,11.24,10.35,10.84,NaN
2016-11-02T00:00:00Z,10.84,11.17,10.72,10.83,NaN
2016-11-03T00:00:00Z,10.82,11.14,10.77,10.87,NaN
2016-11-04T00:00:00Z,10.87,11.16,10.81,11.15,NaN
2016-11-05T00:00:00Z,11.16,11.24,11.01,11.16,NaN
2016-11-06T00:00:00Z,11.16,11.2,10.92,11.01,NaN
2016-11-07T00:00:00Z,11.01,11.06,10.9,10.93,NaN
2016-11-08T00:00:00Z,10.93,11.01,10.81,10.84,NaN
2016-11-09T00:00:00Z,10.83,10.86,10.28,10.62,NaN
2016-11-10T00:00:00Z,10.64,10.68,10.44,10.51,NaN
2016-11-11T00:00:00Z,10.51,10.72,10.16,10.29,NaN
2016-11-12T00:00:00Z,10.29,10.34,9.65,9.95,NaN
2016-11-13T00:00:00Z,9.92,10.41,9.82,10.14,NaN
2016-11-14T00:00:00Z,10.13,10.19,9.93,10.02,NaN
2016-11-15T00:00:00Z,10,10.3,9.81,10.27,NaN
2016-11-16T00:00:00Z,10.27,10.42,9.82,10,NaN
2016-11-17T00:00:00Z,10,10.13,9.8,9.91,NaN
2016-11-18T00:00:00Z,9.9,9.97,9.45,9.51,NaN
2016-11-19T00:00:00Z,9.51,9.78,9.45,9.68,NaN
2016-11-20T00:00:00Z,9.69,9.78,9.52,9.6,NaN
2016-11-21T00:00:00Z,9.58,9.65,9.41,9.54,NaN
2016-11-22T00:00:00Z,9.53,10.21,9.49,9.87,NaN
2016-11-23T00:00:00Z,9.87,9.93,9.73,9.8,NaN
2016-11-24T00:00:00Z,9.8,9.82,8.68,9.18,NaN
2016-11-25T00:00:00Z,9.19,9.74,9.16,9.4,NaN
2016-11-26T00:00:00Z,9.42,9.48,9.26,9.33,NaN
2016-11-27T00:00:00Z,9.33,9.33,8.66,8.98,NaN
2016-11-28T00:00:00Z,8.97,9,8.63,8.67,NaN
2016-11-29T00:00:00Z,8.67,8.72,7.79,8.14,NaN
2016-11-30T00:00:00Z,8.14,8.75,8.14,8.61,NaN
2016-12-01T00:00:00Z,8.59,8.68,8.3,8.45,NaN
2016-12-02T00:00:00Z,8.46,8.46,7.27,7.73,NaN
2016-12-03T00:00:00Z,7.73,8.12,7.34,7.86,NaN
2016-12-04T00:00:00Z,7.87,7.92,7.35,7.37,NaN
2016-12-05T00:00:00Z,7.39,7.58,6.56,6.75,NaN
2016-12-06T00:00:00Z,6.76,7.99,5.81,7.83,NaN
2016-12-07T00:00:00Z,7.83,8.6,7.33,8.35,NaN
2016-12-08T00:00:00Z,8.35,8.95,8.2,8.2,NaN
2016-12-09T00:00:00Z,8.21,8.65,7.97,8.47,NaN
2016-12-10T00:00:00Z,8.46,8.55,8.04,8.14,NaN
2016-12-11T00:00:00Z,8.14,8.26,8.11,8.23,NaN
2016-12-12T00:00:00Z,8.23,8.62,8.18,8.5,NaN
2016-12-13T00:00:00Z,8.53,8.57,8.35,8.41,NaN
2016-12-14T00:00:00Z,8.4,8.48,8.19,8.24,NaN
2016-12-15T00:00:00Z,8.24,8.32,7.64,7.83,NaN
2016-12-16T00:00:00Z,7.85,7.95,7.77,7.84,NaN
2016-12-17T00:00:00Z,7.84,7.93,7.51,7.85,NaN
2016-12-18T00:00:00Z,7.84,7.97,7.69,7.92,NaN
2016-12-19T00:00:00Z,7.92,7.95,7.57,7.64,NaN
2016-12-20T00:00:00Z,7.65,7.77,7.55,7.64,NaN
2016-12-21T00:00:00Z,7.64,7.97,7.64,7.91,NaN
2016-12-22T00:00:00Z,7.93,7.95,7.5,7.55,NaN
2016-12-23T00:00:00Z,7.54,7.67,7.01,7.13,NaN
2016-12-24T00:00:00Z,7.14,7.46,7.08,7.22,NaN
2016-12-25T00:00:00Z,7.23,7.34,7.12,7.19,NaN
2016-12-26T00:00:00Z,7.18,7.33,7.02,7.26,NaN
2016-12-27T00:00:00Z,7.23,7.37,7.05,7.16,NaN
2016-12-28T00:00:00Z,7.15,7.72,7.05,7.62,NaN
2016-12-29T00:00:00Z,7.6,8.53,7.6,8.29,NaN
2016-12-30T00:00:00Z,8.3,8.52,8.01,8.21,NaN
2016-12-31T00:00:00Z,8.2,8.29,8,8.16,NaN
2017-01-01T00:00:00Z,8.16,8.6,8.08,8.18,NaN
2017-01-02T00:00:00Z,8.2,8.53,8.05,8.38,NaN
2017-01-03T00:00:00Z,8.38,10.02,8.24,9.59,NaN
2017-01-04T00:00:00Z,9.62,11.17,9.34,11.17,NaN
2017-01-05T00:00:00Z,11.13,11.8,9.08,10.23,NaN
2017-01-06T00:00:00Z,10.23,10.46,9.52,10.14,NaN
2017-01-07T00:00:00Z,10.14,10.21,9.55,9.92,NaN
2017-01-08T00:00:00Z,9.92,10.58,9.89,10.5,NaN
2017-01-09T00:00:00Z,10.5,10.94,10.23,10.39,NaN
2017-01-10T00:00:00Z,10.41,10.75,10.34,10.63,NaN
2017-01-11T00:00:00Z,10.63,10.84,9.47,9.95,NaN
2017-01-12T00:00:00Z,9.96,10.17,9.12,9.8,NaN
2017-01-13T00:00:00Z,9.81,9.91,9.51,9.84,NaN
2017-01-14T00:00:00Z,9.84,9.94,9.69,9.86,NaN
2017-01-15T00:00:00Z,9.86,10.05,9.8,9.9,NaN
2017-01-16T00:00:00Z,9.91,10.23,9.56,9.66,NaN
2017-01-17T00:00:00Z,9.66,10.53,9.65,10.34,NaN
2017-01-18T00:00:00Z,10.33,10.51,9.99,10.23,NaN
2017-01-19T00:00:00Z,10.24,10.5,10.18,10.42,NaN
2017-01-20T00:00:00Z,10.46,10.81,10.42,10.63,NaN
2017-01-21T00:00:00Z,10.65,11.06,10.58,10.93,NaN
2017-01-22T00:00:00Z,10.93,11.07,10.66,10.77,NaN
2017-01-23T00:00:00Z,10.77,10.85,10.65,10.8,NaN
2017-01-24T00:00:00Z,10.79,10.92,10.51,10.57,NaN
2017-01-25T00:00:00Z,10.57,10.66,10.43,10.55,NaN
2017-01-26T00:00:00Z,10.54,10.67,10.5,10.6,NaN
2017-01-27T00:00:00Z,10.61,10.64,10.42,10.55,NaN
2017-01-28T00:00:00Z,10.55,10.58,10.47,10.58,NaN
2017-01-29T00:00:00Z,10.58,10.58,10.46,10.49,NaN
2017-01-30T00:00:00Z,10.5,10.71,10.37,10.6,NaN
2017-01-31T00:00:00Z,10.59,10.79,10.58,10.7,NaN
2017-02-01T00:00:00Z,10.69,10.86,10.51,10.72,NaN
2017-02-02T00:00:00Z,10.73,10.85,10.63,10.82,NaN
2017-02-03T00:00:00Z,10.82,10.99,10.67,10.99,NaN
2017-02-04T00:00:00Z,10.99,11.45,10.98,11.41,NaN
2017-02-05T00:00:00Z,11.39,11.44,11.15,11.26,NaN
2017-02-06T00:00:00Z,11.28,11.42,11.22,11.34,NaN
2017-02-07T00:00:00Z,11.33,11.59,11.29,11.51,NaN
2017-02-08T00:00:00Z,11.51,11.65,11.15,11.41,NaN
2017-02-09T00:00:00Z,11.41,11.54,10.61,11.02,NaN
2017-02-10T00:00:00Z,11.02,11.48,10.88,11.43,NaN
2017-02-11T00:00:00Z,11.44,11.52,11.34,11.52,NaN
2017-02-12T00:00:00Z,11.51,11.54,11.4,11.5,NaN
2017-02-13T00:00:00Z,11.5,11.54,11.21,11.43,NaN
2017-02-14T00:00:00Z,11.42,14.7,11.39,13.15,NaN
2017-02-15T00:00:00Z,13.16,13.2,12.66,12.98,NaN
2017-02-16T00:00:00Z,12.98,13.03,12.62,12.89,NaN
2017-02-17T00:00:00Z,12.92,12.95,12.71,12.75,NaN
2017-02-18T00:00:00Z,12.77,12.93,12.77,12.89,NaN
2017-02-19T00:00:00Z,12.87,12.95,12.79,12.9,NaN
2017-02-20T00:00:00Z,12.9,12.95,12.56,12.61,NaN
2017-02-21T00:00:00Z,12.59,12.87,12.3,12.83,NaN
2017-02-22T00:00:00Z,12.83,12.99,12.68,12.75,NaN
2017-02-23T00:00:00Z,12.74,13.37,12.73,13.21,NaN
2017-02-24T00:00:00Z,13.22,13.33,12.81,13.19,NaN
2017-02-25T00:00:00Z,13.18,13.87,13.06,13.65,NaN
2017-02-26T00:00:00Z,13.64,14.84,13.4,14.74,NaN
2017-02-27T00:00:00Z,14.74,16.32,14.37,15.66,NaN
2017-02-28T00:00:00Z,15.66,16.94,15.21,16.24,NaN
2017-03-01T00:00:00Z,15.76,17.58,15.68,17.37,NaN
2017-03-02T00:00:00Z,17.46,19.99,16.88,19.27,NaN
2017-03-03T00:00:00Z,19.27,21.49,18.2,19.67,NaN
2017-03-04T00:00:00Z,19.61,20.4,18.65,18.65,NaN
2017-03-05T00:00:00Z,18.65,19.45,18.18,19.4,NaN
2017-03-06T00:00:00Z,19.39,20.24,19.17,19.67,NaN
2017-03-07T00:00:00Z,19.68,19.77,18.59,18.96,NaN
2017-03-08T00:00:00Z,18.96,18.96,16.65,16.67,NaN
2017-03-09T00:00:00Z,16.66,18.29,16.2,17.82,NaN
2017-03-10T00:00:00Z,17.82,19.7,17.01,19.2,NaN
2017-03-11T00:00:00Z,19.21,21.89,18.91,21.65,NaN
2017-03-12T00:00:00Z,21.67,24.25,21.33,23.39,NaN
2017-03-13T00:00:00Z,23.38,31.1,23.38,28.64,NaN
2017-03-14T00:00:00Z,28.64,30,27.16,28.69,NaN
2017-03-15T00:00:00Z,28.69,35.86,28.5,35.65,NaN
2017-03-16T00:00:00Z,35.69,47.03,35.65,45.96,NaN
2017-03-17T00:00:00Z,45.97,57.67,35.04,44.62,NaN
2017-03-18T00:00:00Z,44.65,45,30.7,33.64,NaN
2017-03-19T00:00:00Z,33.91,45.64,33.78,43.21,NaN
2017-03-20T00:00:00Z,43.21,45.25,40.86,42.32,NaN
2017-03-21T00:00:00Z,42.38,43.68,41.76,42.37,NaN
2017-03-22T00:00:00Z,42.38,42.59,38.26,41.37,NaN
2017-03-23T00:00:00Z,41.33,43.97,40.33,42.98,NaN
2017-03-24T00:00:00Z,42.92,53.44,42.5,52.93,NaN
2017-03-25T00:00:00Z,52.93,53.4,47.29,50.5,NaN
2017-03-26T00:00:00Z,50.61,51.5,48.51,50.68,NaN
2017-03-27T00:00:00Z,50.74,51.71,48.28,48.97,NaN
2017-03-28T00:00:00Z,48.97,50.44,48.51,50.3,NaN
2017-03-29T00:00:00Z,50.29,53.97,50.11,53.11,NaN
2017-03-30T00:00:00Z,53.11,53.34,51.52,51.87,NaN
2017-03-31T00:00:00Z,51.87,52.41,46.98,50.18,NaN
2017-04-01T00:00:00Z,50.17,51.85,48.85,50.71,NaN
2017-04-02T00:00:00Z,50.72,51.19,48.14,48.74,NaN
2017-04-03T00:00:00Z,48.74,48.97,42.39,44.26,NaN
2017-04-04T00:00:00Z,44.38,46.25,41.45,44.47,NaN
2017-04-05T00:00:00Z,44.45,47.63,44.2,44.78,NaN
2017-04-06T00:00:00Z,44.97,45.97,41.1,43.3,NaN
2017-04-07T00:00:00Z,43.3,44.64,41.57,42.32,NaN
2017-04-08T00:00:00Z,42.32,45.5,42.31,44.45,NaN
2017-04-09T00:00:00Z,44.51,44.74,42.72,43.92,NaN
2017-04-10T00:00:00Z,43.93,44.64,42.72,43.92,NaN
2017-04-11T00:00:00Z,43.92,44.5,43.55,43.83,NaN
